2011-04-25 18:21:03 status unpacked libgstreamer0.10-0 0.10.28-1
2011-04-25 18:21:03 status unpacked libgstreamer0.10-0 0.10.28-1
2011-04-25 18:21:03 install libgstreamer-plugins-base0.10-0 <none> 0.10.28-1
2011-04-25 18:21:03 status half-installed libgstreamer-plugins-base0.10-0 0.10.28-1
2011-04-25 18:21:03 status unpacked libgstreamer-plugins-base0.10-0 0.10.28-1
2011-04-25 18:21:03 status unpacked libgstreamer-plugins-base0.10-0 0.10.28-1
2011-04-25 18:21:03 install libgtk2.0-common <none> 2.20.1-0ubuntu2
2011-04-25 18:21:03 status half-installed libgtk2.0-common 2.20.1-0ubuntu2
2011-04-25 18:21:04 status unpacked libgtk2.0-common 2.20.1-0ubuntu2
2011-04-25 18:21:04 status unpacked libgtk2.0-common 2.20.1-0ubuntu2
2011-04-25 18:21:04 install libjasper1 <none> 1.900.1-7
2011-04-25 18:21:04 status half-installed libjasper1 1.900.1-7
2011-04-25 18:21:04 status unpacked libjasper1 1.900.1-7
2011-04-25 18:21:04 status unpacked libjasper1 1.900.1-7
2011-04-25 18:21:04 install libpango1.0-common <none> 1.28.0-0ubuntu2.2
2011-04-25 18:21:04 status half-installed libpango1.0-common 1.28.0-0ubuntu2.2
2011-04-25 18:21:04 status half-installed libpango1.0-common 1.28.0-0ubuntu2.2
2011-04-25 18:21:04 status unpacked libpango1.0-common 1.28.0-0ubuntu2.2
2011-04-25 18:21:04 status unpacked libpango1.0-common 1.28.0-0ubuntu2.2
2011-04-25 18:21:04 install libthai-data <none> 0.1.13-1build1
2011-04-25 18:21:04 status half-installed libthai-data 0.1.13-1build1
2011-04-25 18:21:05 status unpacked libthai-data 0.1.13-1build1
2011-04-25 18:21:05 status unpacked libthai-data 0.1.13-1build1
2011-04-25 18:21:05 install libthai0 <none> 0.1.13-1build1
2011-04-25 18:21:05 status half-installed libthai0 0.1.13-1build1
2011-04-25 18:21:05 status unpacked libthai0 0.1.13-1build1
2011-04-25 18:21:05 status unpacked libthai0 0.1.13-1build1
2011-04-25 18:21:05 install libxft2 <none> 2.1.14-1ubuntu1
2011-04-25 18:21:05 status half-installed libxft2 2.1.14-1ubuntu1
2011-04-25 18:21:05 status unpacked libxft2 2.1.14-1ubuntu1
2011-04-25 18:21:05 status unpacked libxft2 2.1.14-1ubuntu1
2011-04-25 18:21:05 install libpango1.0-0 <none> 1.28.0-0ubuntu2.2
2011-04-25 18:21:05 status half-installed libpango1.0-0 1.28.0-0ubuntu2.2
2011-04-25 18:21:05 status unpacked libpango1.0-0 1.28.0-0ubuntu2.2
2011-04-25 18:21:05 status unpacked libpango1.0-0 1.28.0-0ubuntu2.2
2011-04-25 18:21:05 install libxcomposite1 <none> 1:0.4.1-1
2011-04-25 18:21:05 status half-installed libxcomposite1 1:0.4.1-1
2011-04-25 18:21:06 status unpacked libxcomposite1 1:0.4.1-1
2011-04-25 18:21:06 status unpacked libxcomposite1 1:0.4.1-1
2011-04-25 18:21:06 install libxcursor1 <none> 1:1.1.10-1
2011-04-25 18:21:06 status half-installed libxcursor1 1:1.1.10-1
2011-04-25 18:21:06 status unpacked libxcursor1 1:1.1.10-1
2011-04-25 18:21:06 status unpacked libxcursor1 1:1.1.10-1
2011-04-25 18:21:06 install libxinerama1 <none> 2:1.1-2
2011-04-25 18:21:06 status half-installed libxinerama1 2:1.1-2
2011-04-25 18:21:06 status unpacked libxinerama1 2:1.1-2
2011-04-25 18:21:06 status unpacked libxinerama1 2:1.1-2
2011-04-25 18:21:06 install libxrandr2 <none> 2:1.3.0-3
2011-04-25 18:21:06 status half-installed libxrandr2 2:1.3.0-3
2011-04-25 18:21:06 status unpacked libxrandr2 2:1.3.0-3
2011-04-25 18:21:06 status unpacked libxrandr2 2:1.3.0-3
2011-04-25 18:21:06 install shared-mime-info <none> 0.71-1ubuntu2
2011-04-25 18:21:06 status half-installed shared-mime-info 0.71-1ubuntu2
2011-04-25 18:21:06 status half-installed shared-mime-info 0.71-1ubuntu2
2011-04-25 18:21:07 status unpacked shared-mime-info 0.71-1ubuntu2
2011-04-25 18:21:07 status unpacked shared-mime-info 0.71-1ubuntu2
2011-04-25 18:21:07 install libgtk2.0-0 <none> 2.20.1-0ubuntu2
2011-04-25 18:21:07 status half-installed libgtk2.0-0 2.20.1-0ubuntu2
2011-04-25 18:21:08 status unpacked libgtk2.0-0 2.20.1-0ubuntu2
2011-04-25 18:21:08 status unpacked libgtk2.0-0 2.20.1-0ubuntu2
2011-04-25 18:21:08 install libgtk2.0-bin <none> 2.20.1-0ubuntu2
2011-04-25 18:21:08 status half-installed libgtk2.0-bin 2.20.1-0ubuntu2
2011-04-25 18:21:08 status half-installed libgtk2.0-bin 2.20.1-0ubuntu2
2011-04-25 18:21:09 status unpacked libgtk2.0-bin 2.20.1-0ubuntu2
2011-04-25 18:21:09 status unpacked libgtk2.0-bin 2.20.1-0ubuntu2
